,t,temp,depth,so2_emitted,so2_pool,so2_oxidised,so4_pool,so4_removed,d34S_so2_pool,d34S_so4_pool,d33S_so4_pool,D33S_so4_pool,f_volc,d34S_so4_tot,d33S_so4_tot,D33S_so4_tot
250,250,7.006122866353561,0.0,0.0,0.03210796354348578,0.0016462104932759255,0.020104137505689998,0.002676834809125386,44.31378850423173,36.81634563240777,18.924956511019886,0.1308002967901345,0.0023828225078698097,8.54316830768398,7.640277328154707,-0.06309823964637619
251,251,7.006122866353561,0.0,0.0,0.030542039683359886,0.0015659238601258953,0.019123762034150633,0.002546299331665259,44.67957118251098,37.17950224679312,19.108739228319127,0.130823889139986,0.0022666244994207375,8.54069831351215,7.639379505361095,-0.06312077060986147
252,252,7.006122866353561,0.0,0.0,0.029052486831080394,0.0014895528522794919,0.018191186539275518,0.0024221283471546075,45.04548198029723,37.5427860608768,19.292555094367003,0.13084748574532234,0.0021560919347261656,8.538308875018899,7.63850521150843,-0.06314220563453186
253,253,7.006122866353561,0.0,0.0,0.027635580328643175,0.0014169065024372182,0.01730408137490205,0.0023040116668106877,45.41152094246592,37.90619711921228,19.476404115142287,0.13087108660658764,0.002050948694837442,8.535997998273334,7.637654284190992,-0.06316259800722705
254,254,7.006122866353561,0.0,0.0,0.0262877771717585,0.0013478031568846746,0.01646023032666731,0.0021916542051194127,45.777688113907814,38.26973546636836,19.660286296625085,0.13089469172422596,0.0019509321051949281,8.533763692694913,7.636826520998136,-0.06318199842637062
255,255,7.006122866353561,0.0,0.0,0.025005707150494848,0.0012820700212636546,0.015657525101774667,0.002084775246156298,46.14398353952986,38.633401146928925,19.844201644797053,0.13091830110023572,0.0018557922825331728,8.5316039754548,7.636021683798277,-0.06320045512740548
256,256,7.006122866353561,0.0,0.0,0.023786164421998605,0.0012195427284962443,0.014893960084924197,0.001983107745346713,46.51040726425437,38.99719420549452,20.0281501656403,0.13094191473439487,0.0017652915133328855,8.52951687543998,7.6352395027003634,-0.06321801400219522
257,257,7.006122866353561,0.0,0.0,0.02262609949421709,0.0011600649277815132,0.01416762734772841,0.0018863976649773004,46.876959333019606,39.36111468668013,20.212131865137373,0.13096553262736954,0.0016792036623169955,8.527500436812343,7.634479679714081,-0.06323471871265494
258,258,7.006122866353561,0.0,0.0,0.02152261160058002,0.001103487893637071,0.013476711899517444,0.0017944033418480373,47.24363979077961,39.72516263511694,20.39614674927348,0.13098915478071405,0.0015973136095571547,8.525552722192874,7.633741892128741,-0.06325061079890525
259,259,7.006122866353561,0.0,0.0,0.020472941446572124,0.0010496701540078962,0.012819487167996567,0.0017068948855287723,47.61044868250397,40.08933809545234,20.58019482403406,0.13101278119487247,0.0015194167148232518,8.523671815499071,7.633025795629555,-0.0632657297822079
