,runname,datetime,rmse_d34S,rmse_D33S,laki_bottom_bcg_d34S,Laki1_d34S,Laki2-3_d34S,Laki6_d34S,Laki7_d34S,Laki8_d34S,Laki9_d34S,Laki10_d34S,Laki11_d34S,Laki12_d34S,Laki13_d34S,Laki14_d34S,Laki15_d34S,Laki16_d34S,Laki17-18_d34S,Laki19_d34S,Laki20-21_d34S,laki_top_bcg_d34S,laki_bottom_bcg_D33S,Laki1_D33S,Laki2-3_D33S,Laki6_D33S,Laki7_D33S,Laki8_D33S,Laki9_D33S,Laki10_D33S,Laki11_D33S,Laki12_D33S,Laki13_D33S,Laki14_D33S,Laki15_D33S,Laki16_D33S,Laki17-18_D33S,Laki19_D33S,Laki20-21_D33S,laki_top_bcg_D33S
22,testconfigs_WillOptimal,20250605_130208,2.180966069223356,0.086089256,0.1365365420745838,-2.648424741,-2.14866523,1.0475183420996144,-0.515241913,-1.55148766,-2.796032698,-3.001259608,-2.33128504,-1.28959698,-0.529292629,1.5743979442227278,3.8572797588940535,3.850714656801668,,1.2951013874842283,1.4073592215813644,0.6441571687941501,-0.024062599,-0.072879226,0.098153515,0.000209601,0.095477223,0.052093511,-0.01685165,-0.132478337,-0.0953033,-0.055535247,-0.135192854,-0.02658416,0.164013033,-0.004971559,-0.092164196,0.010657187,0.058997962,-0.003484463
23,testconfigs_WillOptimal,20250605_130601,2.1794051430139425,0.087408797,0.136159657,-2.652271527,-2.112800691,1.1928785999428824,-0.432925924,-1.534954002,-2.84812496,-3.119277851,-2.511266195,-1.529133551,-0.899057445,1.2163571442623908,3.626750755234853,3.764373768877088,,1.2972828458184154,1.414399881814127,0.6461163037153366,-0.023935525,-0.067776592,0.113307887,0.012382519,0.1026062817022455,0.056015373,-0.015625542,-0.133259628,-0.097309267,-0.057934064,-0.134454403,-0.02487982,0.165840616,-0.003761414,-0.091330515,0.011023858,0.059236922,-0.003473927
24,testconfigs_WillOptimal,20250605_131202,2.1743403385157705,0.08728905,0.1356345203734861,-2.667601165,-2.138645635,1.1915284138202324,-0.422999862,-1.519710043,-2.829655122,-3.099382819,-2.491324577,-1.510113142,-0.883505615,1.2298197100868613,3.638490854649527,3.772330176822895,,1.300095446000027,1.4163168857516144,0.6462214826611596,-0.023892485,-0.066139399,0.1182842300001387,0.018756123,0.1084555205030152,0.061265959,-0.011068682,-0.129426882,-0.094189846,-0.055492202,-0.132535258,-0.023455087,0.1667982219118037,-0.003279479,-0.091032514,0.0111358,0.059305308,-0.003471775
25,testconfigs_WillOptimal,20250605_132052,2.128655769010691,0.087894896,0.1371577972489852,-3.003799076,-2.664513202,0.776269931,-0.554565802,-1.527129089,-2.772960516,-3.023272935,-2.425797297,-1.472658984,-0.866761981,1.1928143119122527,3.5835115482387847,3.7459996611661177,,1.3161160371340426,1.4346337157427769,0.6505911823540647,-0.023975977,-0.077973029,0.1046647530778759,0.014650928,0.1041363316238271,0.056719391,-0.015656099,-0.133799748,-0.098065444,-0.058622903,-0.13521521,-0.024889402,0.1664402600932462,-0.002945853,-0.090606766,0.011459949,0.059554051,-0.003452163
26,testconfigs_WillOptimal,20250605_132407,2.1800318792512208,0.08677657,0.1368274702824372,-2.639843301,-2.134410836,1.052732274023285,-0.515300373,-1.554783004,-2.801975796,-3.009269153,-2.340905527,-1.300553981,-0.541514147,1.560333555655177,3.843323857003238,3.840293864051051,,1.2911060688292757,1.4045992863627497,0.6440008792472565,-0.023981032,-0.069732385,0.1076621247415228,0.010026919,0.1027216269432331,0.057407864,-0.013379853,-0.130625415,-0.094767272,-0.055971059,-0.13559285,-0.026875537,0.1638203691549783,-0.00506726,-0.092223025,0.010635296,0.058984645,-0.003484871
27,testconfigs_WillOptimal,20250605_132800,2.098938963402761,0.087914092,0.1369245405356967,-3.013094228,-2.675492172,0.8182604047735622,-0.502283268,-1.476324048,-2.728722572,-2.989347593,-2.4049395,-1.467116178,-0.888559219,1.1472386426724803,3.5249976760300576,3.694470973611531,,1.2930593969660291,1.4181366889969684,0.649465935,-0.024014064,-0.080218487,0.099896566,0.009445875,0.099677117,0.052903806,-0.018798977,-0.136290766,-0.099956137,-0.059983369,-0.136275973,-0.025686047,0.165895061,-0.003228427,-0.090785002,0.011390343,0.059510704,-0.003453722
28,testconfigs_WillOptimal,20250605_132906,1.9862165377836352,0.090849799,0.1367205733906598,-4.072569146,-3.645230684,0.3172098646866048,-0.54006991,-1.355950702,-2.558912734,-2.848338074,-2.343214811,-1.517465918,-1.122340892,0.8085926044080463,3.217986037,3.548838210607239,,1.3180475548007298,1.456315884955048,0.6623037476985925,-0.023826509,-0.077782376,0.1199524263448304,0.042199796,0.1231884120205804,0.069776302,-0.00791694,-0.130285321,-0.097497246,-0.059606894,-0.134332302,-0.022289425,0.1700847106871999,0.000335929,-0.087973201,0.01292859,0.060607806,-0.003375573
29,testconfigs_WillOptimal,20250707_160427,4.224866059537069,0.1030100156766011,0.1369760456049675,-2.513023954,0.6569760456049671,10.25455828126437,3.6748840238571328,-1.281117177,-2.527470572,-0.357488463,4.211781357700643,5.335542908602131,3.671270736134943,3.581980572542361,4.389324409992953,3.536974802778338,,0.966029772,1.1557602788939807,0.6256584579066455,-0.023910415,-0.053910415,0.1560895854483681,-0.001612184,0.031973986,0.027226837,-0.012160217,-0.130306611,-0.146885021,-0.139251154,-0.20953506,-0.082441993,0.126749244,-0.023515958,-0.103548769,0.006439601,0.0564389,-0.00356133
30,testconfigs_looptest_250730_1300,20250730_131002,2.239109752408052,0.1238509718325656,0.1405165659799596,-2.5094834340200407,0.6605165659799592,4.344209651066739,2.6691071535206112,1.6786306350237703,0.5141077112841891,0.2804590528219264,0.6585911876315467,1.5118139672938598,1.3210437795369137,2.334962629945932,3.763406545361224,3.3242611961314568,,0.9430984388311768,1.144985741882854,0.6255889295912738,-0.02391917077563,-0.05391917077563,0.1560808292243699,-0.0086317099229679,0.0524193645473593,-0.0103569824949084,-0.0948997910035026,-0.2214461371821626,-0.1905669581759541,-0.1512236255049035,-0.2121455083182636,-0.0827961611618716,0.1268354791767114,-0.0234232353816534,-0.1034943888661772,0.0064536733892978,0.0564456789783195,-0.0035613394701988
31,testconfigs_looptest_250730_1300,20250730_131129,2.154635225760929,0.1237506417370927,0.1398508703724985,-2.510149129627502,0.6598508703724981,4.503108998704835,2.756698999362198,1.6108271712141071,0.3155613181763165,-0.012745774466635,0.3621073090210891,0.954889484530734,0.8258966209722312,2.002422186800726,3.562444711574561,3.238666040071849,,0.9302135831464842,1.1383559104394632,0.6255397452508973,-0.0239013407071392,-0.0539013407071392,0.1560986592928608,-0.0074347060630767,0.0524550714003997,-0.0105145243483395,-0.0952092734369306,-0.2216136927805361,-0.1902980855276403,-0.150733677680118,-0.2117235055948796,-0.0825313674809781,0.1269896891945242,-0.0233587485257697,-0.1034602570557834,0.0064628677468673,0.0564503218576656,-0.0035613080636919
0,testconfigs_WillOptimal,20250731_120357,3.068312581292894,0.08542941036029876,0.13931256508327472,-2.5106874349167256,0.6593125650832743,6.658626496608369,2.2715036832598625,-0.5758806878943377,-2.939160651563282,-3.5669151834702784,-2.851422487424717,-1.494367681454348,-0.2621618567324253,2.2558156105665086,4.362690904910793,3.921986447316807,,1.1236530247417562,1.2543483270569844,0.6276943978948619,-0.023961195537997644,-0.05396119553799764,0.15603880446200236,-0.038820341745032086,0.0476948034079278,0.014428769239597815,-0.04155406568800563,-0.14601558823653174,-0.10154550985717914,-0.059020526921408335,-0.13994938274829308,-0.03704041026174763,0.15202486027858575,-0.01390826707004772,-0.0985974175115397,0.0077405018229480815,0.05710442869309389,-0.0035552748872771933
