,runname,datetime,rmse_d34S,rmse_D33S,laki_bottom_bcg_d34S,Laki1_d34S,Laki2-3_d34S,Laki6_d34S,Laki7_d34S,Laki8_d34S,Laki9_d34S,Laki10_d34S,Laki11_d34S,Laki12_d34S,Laki13_d34S,Laki14_d34S,Laki15_d34S,Laki16_d34S,Laki17-18_d34S,Laki19_d34S,Laki20-21_d34S,laki_top_bcg_d34S,laki_bottom_bcg_D33S,Laki1_D33S,Laki2-3_D33S,Laki6_D33S,Laki7_D33S,Laki8_D33S,Laki9_D33S,Laki10_D33S,Laki11_D33S,Laki12_D33S,Laki13_D33S,Laki14_D33S,Laki15_D33S,Laki16_D33S,Laki17-18_D33S,Laki19_D33S,Laki20-21_D33S,laki_top_bcg_D33S
10,testconfigs_looptest_250730_143428,20250730_143459,2.142754880847326,0.1337707086004779,0.1343748841651706,-2.5156251158348297,0.6543748841651702,5.069007946170963,3.283488471622594,1.8360181615495068,0.195517179324225,-0.4371628330493216,-0.3057568071111012,-0.0931658425941575,-0.4151155166245672,1.0628526981325963,2.9499405195938406,2.954533514277342,,0.8810107408207433,1.1119346554853689,0.6252818561362634,-0.0237854254030826,-0.0537854254030826,0.1562145745969173,-0.0180001533750627,0.0302174918687765,-0.0370897325345306,-0.1224675373586594,-0.2468745918377055,-0.2108147869175045,-0.1645268565777946,-0.2192475168997246,-0.0862973361046642,0.1251509935927065,-0.02397248257522,-0.103752983577965,0.0063970549704614,0.0564192691288729,-0.0035613255562111
11,testconfigs_looptest_250730_143500,20250730_143531,2.137605178593051,0.132208195556226,0.1325136739513102,-2.51748632604869,0.6525136739513098,5.0122714577924965,3.2701919375687387,1.8555794575055184,0.2402129074281215,-0.3747559398174704,-0.2294656994887236,0.0005543335816775,-0.3291314370103331,1.1223279480603408,2.986506492256469,2.9703469036495926,,0.8834606634574715,1.1132096051124556,0.6252896421924703,-0.0237488906263427,-0.0537488906263427,0.1562511093736572,-0.012356540412727,0.0361589261804161,-0.0315860495307698,-0.1177191290057275,-0.2430416545257383,-0.2079743969728581,-0.1627160001432424,-0.2183038086015791,-0.0858409607214981,0.1253668799184147,-0.0239030159438605,-0.1037204347063894,0.0064041938093405,0.0564226119814076,-0.0035614316741716
12,testconfigs_looptest_250730_143531,20250730_143602,3.836107563098063,0.0878655873833544,0.0678560897173721,-2.582143910282628,0.5878560897173717,10.527856089717371,6.517177941051824,2.88238904635271,0.0147570564882842,-1.4517514864561325,-1.3931402369697303,-0.6488530316376795,-0.7720488810841131,0.9201533280176468,3.357830507065006,3.397775669454861,,0.9770109140925776,1.1630809497982728,0.6256509637060006,-0.0228537194603648,-0.0528537194603648,0.1571462805396351,0.0171462805396351,0.1189713625130181,0.0886432851909755,0.0168973557130053,-0.1070236727955406,-0.0851479358819245,-0.0624998352056134,-0.1440154828859564,-0.0372772094532705,0.1501021060762306,-0.0169522967516673,-0.1008327120786802,0.0068986308896374,0.0566273213815821,-0.0035612451243097
13,testconfigs_looptest_250730_143603,20250730_143634,4.878554934763828,0.1069360158794165,0.1340726233294482,-2.515927376670552,0.6540726233294478,10.594072623329447,10.372362130613569,7.170278644033379,2.8395761070010024,-0.0799113156683049,-1.8517693028117144,-2.503317923275138,-3.498634098120803,-2.41800765360999,-0.5124817584684442,1.2524525246997875,,0.6978578745528772,1.032379836928282,0.625239738206961,-0.0233084512705478,-0.0533084512705478,0.1566915487294521,0.0166915487294521,0.0750881000165562,0.023981916368672,-0.0562938619247637,-0.182200770956285,-0.1530234868696742,-0.1183054175736186,-0.1857359182109696,-0.0640675662649599,0.1373115611878262,-0.0204927152418578,-0.1023112095232741,0.0066425270118937,0.0565208398589411,-0.0035614127157459
14,testconfigs_looptest_250730_143634,20250730_143705,3.984509219816968,0.0889830355051522,0.0854272208828135,-2.564572779117187,0.6054272208828131,10.545427220882813,7.322323681982796,3.701686257525212,0.4310075996181838,-1.4756581862704028,-1.7962000744076132,-1.2496135280596148,-1.428544168287801,0.2747373864018287,2.7848714607484046,3.151564248780974,,0.9549079656709588,1.154193971649503,0.6256903914894867,-0.0229959784671565,-0.0529959784671565,0.1570040215328434,0.0170040215328435,0.1083995825362555,0.070074640395497,-0.003270517812017,-0.1242641418074198,-0.0974297196176822,-0.069658577338875,-0.1470716458900767,-0.0377088521877563,0.1506962902182148,-0.0164443304820046,-0.1005285236638083,0.0069819069831123,0.0566680802263664,-0.0035609045257718
15,testconfigs_looptest_250730_143705,20250730_143736,2.1996221283889885,0.126976580991701,0.1480052119136345,-2.5019947880863658,0.6680052119136342,5.28850796605659,3.205001127725534,1.6453660144020412,-0.040506188355377,-0.6932648643527128,-0.6163386209870749,-0.4106248408172859,-0.3726038341922262,1.1884091874280696,3.066886868107172,3.026079817463552,,0.8977541013335149,1.1215603068610172,0.6254054171792784,-0.0236203803580556,-0.0536203803580556,0.1563796196419443,0.0075040905471041,0.0572623218301217,-0.0118672221805779,-0.1005455136849759,-0.2290087041474471,-0.19737035691974,-0.1557119197380501,-0.2145777056997717,-0.0840178057236573,0.1262369231414612,-0.0236200360642918,-0.1035870239418327,0.0064337570843761,0.0564365142285827,-0.0035611734095319
16,testconfigs_looptest_250730_143737,20250730_143808,2.1401587307678143,0.1266926091970698,0.1189013639139098,-2.5310986360860905,0.6389013639139094,4.595772755852907,3.1719425786389595,1.998203422841408,0.5672510094893374,0.0823306544451853,0.3295987253936796,0.6875507745173155,0.3015683986410042,1.5589765128969375,3.2552245429370688,3.0867340326079065,,0.9015485185018992,1.1226324893120871,0.6253697817516208,-0.0236033415216711,-0.0536033415216711,0.1563966584783288,0.0101019815200031,0.059797580246249,-0.0096924992929554,-0.09883307417218,-0.2277996113501944,-0.1966825894291279,-0.1555219676032357,-0.2145587991034481,-0.084031867856734,0.1262217183246507,-0.0236284101166888,-0.1035919114918659,0.0064323184818493,0.0564357666278951,-0.0035611636619343
17,testconfigs_looptest_250730_143809,20250730_143839,2.207554349895236,0.1258155035269792,0.1524014016214714,-2.497598598378529,0.672401401621471,5.292857095227699,3.0328274672125906,1.471489643132165,-0.1652601714701015,-0.7547255289124493,-0.6394353829003414,-0.2449640224872027,-0.090394746706842,1.4223686759927343,3.2269930093175807,3.1037482333130937,,0.9117800646376412,1.129142222014604,0.625481725632353,-0.0236140004184286,-0.0536140004184286,0.1563859995815713,0.0086405039630144,0.0597847584218075,-0.0087575604875413,-0.0972362504343626,-0.2258768412470357,-0.194771591832046,-0.1539844484520659,-0.2136434058493618,-0.0835444240956267,0.1264708604159404,-0.0235405187215208,-0.1035486639641444,0.0064425430859145,0.056440691539487,-0.003561353511393
18,testconfigs_looptest_250730_143840,20250730_143910,3.8574907977405055,0.0890992229389917,0.0711014920393395,-2.578898507960661,0.5911014920393391,10.53110149203934,6.812703392473598,3.16895284394488,0.1930995565943248,-1.4365197268996768,-1.6203198249711153,-1.0587774379654291,-1.3145755009116238,0.2612164769314127,2.725065714432932,3.175550463362128,,0.964365585377946,1.161554711197919,0.625363518390678,-0.0229310302393619,-0.0529310302393619,0.157068969760638,0.017068969760638,0.1113442431598289,0.0766229942688584,0.0035407147683813,-0.1197901672046784,-0.0947528706421306,-0.0683762295545235,-0.1461531528073389,-0.0357494693067368,0.1540196539348753,-0.0151285214968934,-0.0999385442502248,0.0070507518791338,0.0566093530580073,-0.0035614560685261
19,testconfigs_looptest_250730_143911,20250730_143941,3.192736340882372,0.1193793970275186,0.125323739785772,-2.5246762602142283,0.6453237397857716,8.147795220395942,5.511784522205232,3.3307291949818394,0.628722952302249,-1.1311962420593251,-1.8625486332971417,-2.0715766218921488,-3.1058201773135896,-2.279872789290116,-0.6116524631346998,0.0391411549762859,,0.035392550864346,0.5937990192953837,0.6143084628748738,-0.0234715137908635,-0.0534715137908635,0.1565284862091365,0.0257083795092015,0.0796322816136567,0.0108751157496655,-0.0785923359871446,-0.2090338188306402,-0.180245587963734,-0.1419209335835018,-0.2038534298581362,-0.0759248001986306,0.1319311343896853,-0.0209860516188507,-0.1021387593829632,0.0068526997006432,0.0566605347630634,-0.0035442004686709
